WHONET_ORG_CODE	ORGANISM	TAXONOMIC_STATUS	COMMON	ORGANISM_TYPE	ANAEROBE	MORPHOLOGY	SUBKINGDOM_CODE	FAMILY_CODE	GENUS_GROUP	GENUS_CODE	SPECIES_GROUP	SEROVAR_GROUP	MSF_GRP_CLIN	SCT_CODE	SCT_TEXT	DWC_TAXON_ID	DWC_TAXONOMIC_STATUS	GBIF_TAXON_ID	GBIF_DATASET_ID	GBIF_TAXONOMIC_STATUS	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
abi	Abiotrophia sp.	C		+			+			ABI			OTH	372391001	Abiotrophia species	LN4	ACCEPTED	3227008	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
sdf	Abiotrophia defectiva	C		+			+			ABI			OTH	113714003	Abiotrophia defectiva	8KPD	ACCEPTED	3227009	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
abs	Absidia sp.	C		f						ABS				404226006	Absidia species	LSM	ACCEPTED	2558224	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Zygomycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
acn	Acanthamoeba sp.	C		w						ACN				372401005	Acanthamoeba species			7237940	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Acanthamoebidae	Acanthamoeba
avb	Acetivibrio sp.	C		a	X		+			AVB			OTH	131199002	Acetivibrio species	MND	ACCEPTED	3226685	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
ace	Acetobacterium sp.	C		a	X		+			ACE			OTH	423008000	Acetobacterium	MNG	ACCEPTED	3226379	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium
acp	Acholeplasma sp.	C		b			+			ACP			OTH	131200004	Acholeplasma species	MST	ACCEPTED	3236947	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Tenericutes		Acholeplasmatales	Acholeplasmataceae	Acholeplasma
ach	Achromobacter sp.	C		-			-		NFR	ACH			OTH	413423003	Achromobacter species	MU8	ACCEPTED	3219782	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
axy	Achromobacter xylosoxidans ss. xylosoxidans	C		-			-		NFR	ACH			OTH	413415000	Achromobacter xylosoxidans xylosoxidans	5FDBL	ACCEPTED	3219795	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
acd	Acidaminococcus sp.	C		a	X		+			ACD			OTH	131202007	Acidaminococcus species	MW3	ACCEPTED	3226304	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
afe	Acidaminococcus fermentans	C		a	X		+			ACD			OTH	63005002	Acidaminococcus fermentans	9AFV	ACCEPTED	3226305	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
acx	Acidovorax sp.	C		-			-		NFR	ACX			OTH	115153000	Acidovorax	MXL	ACCEPTED	3220140	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
adf	Acidovorax delafieldii	C		-			-		NFR	ACX			OTH	113685003	Acidovorax delafieldii	9AU7	ACCEPTED	3220141	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
afc	Acidovorax facilis	C		-			-		NFR	ACX			OTH	113686002	Acidovorax facilis	9AU8	ACCEPTED	3220143	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
atm	Acidovorax temperans	C		-			-		NFR	ACX			OTH	113687006	Acidovorax temperans	9AUD	ACCEPTED	3220149	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
ac-	Acinetobacter sp.	C		-			-		NFR	AC-			NFG-	7757008	Acinetobacter	MY8	ACCEPTED	3223263	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aba	Acinetobacter baumannii	C	X	-			-		NFR	AC-	ABX		NFG-	91288006	Acinetobacter baumannii	9B5V	ACCEPTED	3223274	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aby	Acinetobacter baylyi	C		-			-		NFR	AC-			NFG-	423974000	Acinetobacter baylyi	9B5W	ACCEPTED	3223268	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aca	Acinetobacter calcoaceticus	C		-			-		NFR	AC-	ABX		NFG-	82550008	Acinetobacter calcoaceticus	9B63	ACCEPTED	3223271	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aha	Acinetobacter haemolyticus	C		-			-		NFR	AC-			NFG-	77045006	Acinetobacter haemolyticus	9B68	ACCEPTED	3223279	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ajo	Acinetobacter johnsonii	C		-			-		NFR	AC-			NFG-	252000	Acinetobacter johnsonii	9B69	ACCEPTED	3223276	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
