id;whonet_abx_code;who_code;din_code;jac_code;eucast_code;user_code;antibiotic;guidelines;antibotic_class;clsi;eucast;sfm;srga;bsac;din;neo;afa;abx_number;potency;atc_code;prof_class;cia_category;clsi_order;eucast_order;human;veterinary;animal_gp;loinccomp;loincgen;loincdisk;loincmic;loincetest;loincslow;loincafb;loincsbt;loincmlc;date_entered;date_modified;comments
1;Streamlined Netherlands;hack Club;definition;definition parse;invoice virtual;European;Home Frozen;help-desk;e-business New;South Thailand;Agent;Guinea-Bissau Fish;frame;Azerbaijan lavender;Card United e-commerce;New;Borders;synthesize;Liberian;Awesome North Decentralized;Investor;Representative Intelligent 24/365;Uzbekistan FTP;magenta;Developer;York;Ball Loan Fresh;Trinidad Auto Organic;teal Configuration Bedfordshire;dynamic;Kuwaiti Towels Tennessee;Metal Rustic;24/7 Personal;sensor;Malaysia;East Connecticut Nebraska;AI Island Buckinghamshire;Market SDD;Fantastic upward-trending
2;generate Developer Rustic;Applications THX Handmade;sensor Account Tools;ivory Money;Trail open-source Strategist;Account Ball;Officer initiatives;withdrawal;Republic;PCI;Officer Designer compress;Unbranded;vertical Architect;Synergized;User-friendly Dynamic Accounts;feed;Ohio Berkshire moderator;Switchable homogeneous;Kansas bi-directional transform;indigo paradigms;Tactics auxiliary;black copy programming;Team-oriented Massachusetts Account;invoice;bluetooth Branding Incredible;Car;cultivate Land Cheese;solution Pakistan;input;interfaces;Infrastructure;grey;port;Liaison;Plastic navigating;Virginia Enhanced;Gorgeous Barbados;Danish Lead protocol;generate initiatives
3;Checking methodologies;Frozen orchestration Crest;optical;feed;Lead;Wooden Colorado;Wooden;Steel Account Sports;feed Washington;Small;scale Concrete optical;UIC-Franc Borders 1080p;Awesome;online copy;Forges Shirt;copying hybrid models;Reduced scalable;Cambridgeshire;Pants bi-directional metrics;Progressive access;Berkshire ROI incentivize;Gloves e-services;Ocean Heights;deliverables Arabia;Rubber;invoice Specialist Shirt;Shores attitude-oriented Unbranded;Wooden niches Account;optical Plastic;niches South Granite;Intranet mobile;Egyptian USB Concrete;Concrete Keyboard Account;open;Fall Barbuda;Tactics;asymmetric Buckinghamshire;system-worthy;capacitor Supervisor
4;invoice;Alabama;JBOD Operative cross-media;Vanuatu framework Account;bypassing;Front-line Forward Rubber;models Ergonomic foreground;program Bacon;array Applications;Corporate;Fantastic Administrator analyzer;grid-enabled Planner;customer Rustic Louisiana;bleeding-edge Metal connecting;incremental Security;interactive;Customer-focused invoice;Fords reintermediate;revolutionize Up-sized;Concrete;Credit 1080p;Functionality cross-platform;neural;Regional Moldovan e-enable;Egypt synergies Checking;plum transmitting;Personal Bedfordshire synergies;payment;Sleek Soft;Rupiah Car Lesotho;payment feed Sheqel;plug-and-play connecting;payment;Forward Pizza;Assimilated bandwidth;RSS;Account payment mindshare;California SSL violet;1080p open-source
5;paradigms visionary;Right-sized;Metrics Orchestrator Branding;Georgia transitional;Legacy Response;B2B deposit Throughway;Sausages Dollar;Handmade Intelligent;1080p Gorgeous;Pants bandwidth;solid Granite;card;auxiliary Switzerland;Loan Sheqel;Markets Mobility;Rustic Frozen;infrastructures;Estonia static;transmit invoice;back;Sleek Right-sized Metal;Practical ivory;Investor analyzing haptic;reboot Generic;Granite Sausages;Group;Granite;1080p program action-items;needs-based teal;Cheese;Human primary monitor;plug-and-play Orchestrator Orchestrator;monitor Palladium transmit;Cambridgeshire Money;Account Nepalese;uniform Loan;AI Security;superstructure fresh-thinking;Versatile
6;port Intranet Jewelery;Security Enterprise-wide;Tactics;Liaison payment;high-level Well Checking;payment;bypass Versatile Points;Hat Facilitator PNG;Bedfordshire Arkansas;Trail;Chicken;iterate Table Chicken;strategy;hack Texas analyzer;Bahamas drive withdrawal;Plastic blue;overriding innovate SSL;auxiliary;Card;payment;Legacy panel;Fundamental Chair;Arkansas;Mandatory;flexibility;Soft Identity;tan mint Avon;Macao 6th calculating;collaborative bypass well-modulated;Clothing Buckinghamshire Kids;Cheese;Texas redundant Gold;feed;Gibraltar magnetic e-business;overriding relationships;Chicken;Borders Account Coordinator;backing Aruban Pennsylvania;Intelligent Berkshire
7;program;Avon customer;purple;indigo;primary Hryvnia Networked;convergence Ohio;Escudo Implementation;Industrial backing;background Directives;Shirt architectures;transform;deposit generating Saint;Kroon;Oklahoma;HTTP;orange Accounts Program;Avon generate Savings;schemas Cotton JBOD;state infrastructures;engineer;definition;Arizona Future Berkshire;services invoice;overriding;tan;withdrawal PNG;Dakota Steel;navigate;Forest;Chief;generation holistic;Car hard;International;Utah teal compressing;bluetooth;Ford Applications quantifying;Gloves middleware systems;morph;Interactions port
8;copy connecting Communications;methodologies;vertical;Music deliver;Lebanon Shoes Down-sized;Home;process payment Personal;Small;Director Dynamic;dynamic Synergistic;customized;deposit adapter;Bolivar;payment Human;bottom-line Keyboard networks;pink Cambridgeshire Borders;hub Grocery engineer;rich;supply-chains Dynamic matrix;Cotton Sahara Borders;logistical;Crossroad Quality integrate;synthesizing Metal;Small Rwanda CFA;Luxembourg;Australia Ghana AGP;Sleek schemas;Usability extensible Plastic;monitoring Wisconsin;channels;Beauty best-of-breed;bleeding-edge red;Account;Metical Renminbi;Programmable access Toys;actuating Incredible Ridges;Health;Valley;parsing transmitter
9;Specialist;Wooden Bridge;Nepalese Orchestrator;complexity;Account Manager application;Hungary Practical;full-range;Berkshire;back-end National;systemic Vermont Visionary;Handmade Program;Shilling bricks-and-clicks Bedfordshire;disintermediate;Supervisor Music;Caledonia Boliviano;Account Grocery Clothing;Wooden;Bike Functionality;Guernsey enhance IB;bus relationships Vermont;Belgium Rubber;Quality-focused indexing;virtual Optimization;generation Ridge;bypass Chicken;Boliviano firewall;Optional generating;Direct override;PCI;Dollar;navigating;Borders;Central;Health;Product;maroon back-end Account;efficient Baby Beauty;Towels Cambridgeshire;Wooden
10;synergistic;disintermediate Sleek;capacity back Liaison;Games up;Aruban;Massachusetts Representative connecting;redundant Proactive Future;pricing Table;pixel Guadeloupe;Multi-channelled Administrator;cyan;HTTP collaboration;Tasty Loan Pre-emptive;Tenge;Forward;Balanced;Intelligent navigating;Paradigm;Steel;Avon USB;bluetooth;Micronesia multi-byte;users;withdrawal THX;Metal Mouse;back-end Balanced Account;strategic silver;Frozen;integrated Mouse;auxiliary Team-oriented Central;USB;Refined Loan;Tunisia Salad Delaware;Central Yemen;Chief bandwidth;Cheese;Small Plastic;Maryland;Plastic Creek
