id;guidelines;year;test_method;potency;organism_code;organism_code_type;breakpoint_type;host;site_of_infection;reference_table;reference_sequence;whonet_abx_code;whonet_test;r;i;sdd;s;ecv_ecoff;date_entered;date_modified;comments
1;function Licensed Consultant;37770;Highway Refined efficient;copying indexing Berkshire;Wisconsin;Self-enabling Fantastic Chief;hack;HDD Connecticut Palestinian;feed parsing Place;Concrete;Ramp 1080p;Auto e-tailers Research;Crossing Program;Fresh indigo;Georgia Chicken;optimize emulation;Bike;Avon;navigate web-readiness;Associate Gorgeous application;Anguilla envisioneer
2;programming Georgia Internal;63103;deposit architectures;Afghanistan;Soft McDonald Sleek;Licensed;strategize;asymmetric Hampshire Mauritania;SQL Dynamic Arizona;Montana Developer;synthesizing;Steel Dong model;ubiquitous 24/365;Chief program;Pizza;transition streamline azure;Mouse Persevering;CSS;deposit invoice empower;multi-byte;Card
3;Awesome compress end-to-end;13016;Jewelery Intranet;invoice Mandatory Practical;parallelism orchid;Washington Solutions;Quality Anguilla Bedfordshire;productivity Dollar revolutionary;reinvent Tuna;Managed;Optimization Eritrea card;Islands;Investment;Motorway optical lime;calculate;Analyst Ranch indexing;gold;Borders Iceland standardization;Buckinghamshire primary parsing;bluetooth Fresh;Buckinghamshire Orchestrator redundant
4;Guilder transform sensor;39552;GB Alaska;well-modulated interactive even-keeled;morph application;compress;HTTP New;back;Open-architected convergence Metal;Shoals Optional;Swedish;Reduced Forward;port Dalasi;De-engineered Lanka silver;Regional;Internal Soap Ball;Auto gold;mission-critical pink;SDD deploy;Car Borders;Rand International
5;Central RAM Metal;2351;multi-byte Small Developer;Corporate Incredible;24/7;platforms AI;primary Generic Avon;Fresh Rustic granular;Bike paradigms;Sleek 1080p generating;Wisconsin Grass-roots;Ecuador Bhutan;Polarised deliver;3rd;Manat implement;optimal extend;transmitting;Cotton;Paradigm throughput Response;parse New;firewall Frozen
6;Shoes;76822;hacking IB Ergonomic;Auto deposit reboot;Steel target;interfaces;HDD even-keeled;Automated Soft;Analyst Account;Texas knowledge Steel;Cotton;quantifying portal deposit;system;SMTP SSL;virtual drive Rubber;neural;Rupiah Syrian aggregate;Investor Iran Tala;Motorway;IB Rwanda Gibraltar;Pound
7;Bahamian Soft Sudanese;85134;program bottom-line;Dynamic Mauritius;Estate Chicken;next-generation Bedfordshire;Arab AGP Legacy;invoice infrastructures;Islands global Concrete;Soft Fresh state;maroon Surinam virtual;multi-byte auxiliary Account;Avon Mouse;bluetooth;Reverse-engineered Frozen;Arizona target Incredible;matrix Utah;Kids RAM Universal;Steel;Forks Borders;Fields
8;Programmable;17291;full-range;zero;strategic synthesizing;Account;primary digital;Tuna;synthesizing reboot;Account bluetooth Agent;Regional Berkshire Mill;tan;Point Account;Intelligent override;Borders;Soft;Swaziland Home;Avon program pink;invoice Games Credit;clear-thinking reintermediate;Bedfordshire Organized bypassing
9;protocol Fresh;51560;Steel hack;Ball deposit;Plaza Chicken Turks;FTP responsive;Accounts Ukraine Metal;navigating Product;Iranian Texas;Hat;Practical Computers Checking;indexing;programming payment;dynamic program;Rubber;Borders;Table Dynamic;Bedfordshire encoding;Mouse;Walks;capacitor
10;invoice interfaces Architect;45480;Overpass;Kip;Kyrgyz;Response reintermediate Human;Texas;Herzegovina feed;invoice Planner parsing;composite architectures;Factors;Tactics Bedfordshire;bypass;Incredible Designer networks;Outdoors Course;Forward cultivate architectures;fault-tolerant Compatible;deposit Gateway;Avon;Bike;Gorgeous
