id;guideline;reference_table;organism_code;organism_code_type;exception_organism_code;exception_organism_code_type;abx_code;abx_code_type;antibiotic_exceptions;date_entered;date_modified;comments
1;Inverse;payment synthesizing Islands;AGP;azure Lev;Ball;copying Avon;full-range Dynamic;Money driver Zambia;green Product;Customer Granite;24/7 distributed plum;salmon
2;Computers SCSI;indexing network synergies;Account Internal;Keyboard Agent protocol;relationships Rustic;generating;software primary;parse Books Officer;Avon Consultant Awesome;back-end rich;Louisiana;Loan
3;Consultant;dynamic Handmade Mouse;tan;pink quantify Soft;initiative;Georgia;productivity solutions;invoice;Coordinator auxiliary monitor;transmitting SDD;initiatives generation;clicks-and-mortar Kip archive
4;Rupee;Internal;Run quantify;Turkmenistan;Toys sexy Ramp;Alley;asynchronous South;tolerance;Berkshire;Dollar Architect challenge;blue Fish parsing;transmitter hub SCSI
5;Global;Extensions Research;Account Rustic;Reunion payment;plum Berkshire Ball;middleware groupware;Toys Aruban;Brazilian;Gloves Orchestrator;Minnesota National viral;project Texas Avon;Distributed Renminbi
6;Mountain initiatives;even-keeled grow Plastic;Syrian;Incredible Islands;Martinique Savings;New Communications;brand digital Intelligent;Cambridgeshire Plastic Mississippi;Computers;architect cross-platform Handcrafted;violet;bandwidth-monitored scale UIC-Franc
7;Gambia Junctions;networks;virtual;Cameroon lavender;South International holistic;Executive;paradigms Rustic;optical Silver;Incredible;Chips Dollar;Nauru Beauty Creek;Oklahoma e-enable
8;override Extensions array;Ball;Rubber Reverse-engineered Investor;Sleek;cross-platform;toolset;Strategist Ball Principal;haptic;calculating Sports maroon;bluetooth Tuna Dam;Tactics;pixel
9;e-business Pants;Computer hacking;superstructure Western Illinois;matrix;Oregon architect;quantifying Sleek;homogeneous;Incredible;Bedfordshire;Pants markets;Decentralized;Liaison
10;Engineer Camp overriding;Bedfordshire;Arizona scalable;Representative solid vortals;Customer Granite Customer;Orchard cyan;USB non-volatile 6th;Harbors Jewelery;multi-byte;context-sensitive;application;Buckinghamshire
